fid_unique,fid,year,Nom,commune,governance,type_pasto,elevation_mean,aspect_mean,slope_mean,NDVI_mean,SAVI_mean,MSAVI_mean,NDRE_mean,MNDWI_mean,NDVI_stdDev,SAVI_stdDev,MSAVI_stdDev,MNDWI_stdDev,NDRE_stdDev,NDVI_max,NDVI_min,SAVI_max,SAVI_min,MSAVI_max,MSAVI_min,NDRE_max,NDRE_min,MNDWI_max,MNDWI_min,.geo
1,1,2017,S3-LDT,Santiago,intermediate,LDT,1606.254035,220.7794155,7.970891536,0.3122541842,0.2159883055,0.1963302959,0.1932219156,-0.5122286459,0.06162368658,0.03530598787,0.0327804008,0.0742503213,0.03697258222,0.5326496959,0.1450730115,0.3457399244,0.1071812023,0.3221415342,0.09760039562,0.3074305952,0.0457767956,-0.2571326196,-0.6434714794,"{""type"":""Polygon"",""coordinates"":[[[-2.7819082772724286,37.948372380965104],[-2.7817968179148544,37.94781506554274],[-2.781475737420809,37.94731115757691],[-2.780976342312907,37.94690984685505],[-2.7803386772281407,37.946655674502395],[-2.779638645923119,37.94656648491623],[-2.778934066629071,37.94665117721525],[-2.7783009115150996,37.94690537781086],[-2.7777925094606677,37.947302221235276],[-2.7774670499361718,37.94780608339079],[-2.777355525107172,37.94836347977718],[-2.777467049936172,37.94892087551593],[-2.777788103130902,37.94942478403661],[-2.7782919468169203,37.949821626414135],[-2.778925177783523,37.95008026408053],[-2.779625198494916,37.95016945226213],[-2.780329788117765,37.950084677817735],[-2.7809674530823116,37.94982608939928],[-2.7814713307467973,37.94942919190239],[-2.7817968179148544,37.94892977407763],[-2.7819082772724286,37.948372380965104]]]}"
2,1,2018,S3-LDT,Santiago,intermediate,LDT,1606.254035,220.7794155,7.970891536,0.2904940325,0.1944895145,0.1757088686,0.1744627848,-0.5011449112,0.0525504263,0.02796048652,0.02543106149,0.06345235299,0.03071402704,0.4543385506,0.1549861878,0.2961292347,0.1150419887,0.2733232029,0.1044427371,0.2731696665,0.0526329577,-0.3086576462,-0.6158985496,"{""type"":""Polygon"",""coordinates"":[[[-2.7819082772724286,37.948372380965104],[-2.7817968179148544,37.94781506554274],[-2.781475737420809,37.94731115757691],[-2.780976342312907,37.94690984685505],[-2.7803386772281407,37.946655674502395],[-2.779638645923119,37.94656648491623],[-2.778934066629071,37.94665117721525],[-2.7783009115150996,37.94690537781086],[-2.7777925094606677,37.947302221235276],[-2.7774670499361718,37.94780608339079],[-2.777355525107172,37.94836347977718],[-2.777467049936172,37.94892087551593],[-2.777788103130902,37.94942478403661],[-2.7782919468169203,37.949821626414135],[-2.778925177783523,37.95008026408053],[-2.779625198494916,37.95016945226213],[-2.780329788117765,37.950084677817735],[-2.7809674530823116,37.94982608939928],[-2.7814713307467973,37.94942919190239],[-2.7817968179148544,37.94892977407763],[-2.7819082772724286,37.948372380965104]]]}"
3,1,2019,S3-LDT,Santiago,intermediate,LDT,1606.254035,220.7794155,7.970891536,0.2628257112,0.1816505057,0.1649228458,0.1566993302,-0.5031532302,0.04407195349,0.02656302779,0.02486200607,0.06149185806,0.02619241522,0.4258416891,0.1593118757,0.2953614575,0.1188573367,0.2765146165,0.1072000269,0.2477917224,0.07330928743,-0.3248650432,-0.6120042801,"{""type"":""Polygon"",""coordinates"":[[[-2.7819082772724286,37.948372380965104],[-2.7817968179148544,37.94781506554274],[-2.781475737420809,37.94731115757691],[-2.780976342312907,37.94690984685505],[-2.7803386772281407,37.946655674502395],[-2.779638645923119,37.94656648491623],[-2.778934066629071,37.94665117721525],[-2.7783009115150996,37.94690537781086],[-2.7777925094606677,37.947302221235276],[-2.7774670499361718,37.94780608339079],[-2.777355525107172,37.94836347977718],[-2.777467049936172,37.94892087551593],[-2.777788103130902,37.94942478403661],[-2.7782919468169203,37.949821626414135],[-2.778925177783523,37.95008026408053],[-2.779625198494916,37.95016945226213],[-2.780329788117765,37.950084677817735],[-2.7809674530823116,37.94982608939928],[-2.7814713307467973,37.94942919190239],[-2.7817968179148544,37.94892977407763],[-2.7819082772724286,37.948372380965104]]]}"
4,1,2020,S3-LDT,Santiago,intermediate,LDT,1606.254035,220.7794155,7.970891536,0.3493159544,0.2528448793,0.2343568347,0.2004516158,-0.470301751,0.06425375412,0.04850999928,0.0481339501,0.05168247505,0.03302411128,0.5569391847,0.1768164635,0.4328693849,0.1324884793,0.4223753003,0.1215699947,0.3148661554,0.09063171595,-0.3146586418,-0.5672112107,"{""type"":""Polygon"",""coordinates"":[[[-2.7819082772724286,37.948372380965104],[-2.7817968179148544,37.94781506554274],[-2.781475737420809,37.94731115757691],[-2.780976342312907,37.94690984685505],[-2.7803386772281407,37.946655674502395],[-2.779638645923119,37.94656648491623],[-2.778934066629071,37.94665117721525],[-2.7783009115150996,37.94690537781086],[-2.7777925094606677,37.947302221235276],[-2.7774670499361718,37.94780608339079],[-2.777355525107172,37.94836347977718],[-2.777467049936172,37.94892087551593],[-2.777788103130902,37.94942478403661],[-2.7782919468169203,37.949821626414135],[-2.778925177783523,37.95008026408053],[-2.779625198494916,37.95016945226213],[-2.780329788117765,37.950084677817735],[-2.7809674530823116,37.94982608939928],[-2.7814713307467973,37.94942919190239],[-2.7817968179148544,37.94892977407763],[-2.7819082772724286,37.948372380965104]]]}"
5,1,2021,S3-LDT,Santiago,intermediate,LDT,1606.254035,220.7794155,7.970891536,0.3114461427,0.2054510883,0.1849733043,0.1830005164,-0.515503908,0.0485815335,0.02983589104,0.02811382919,0.06077554683,0.02739621021,0.4733523428,0.1814903617,0.3184556004,0.1294416244,0.2991392,0.1169992515,0.2769871354,0.0770470947,-0.3219128549,-0.617615521,"{""type"":""Polygon"",""coordinates"":[[[-2.7819082772724286,37.948372380965104],[-2.7817968179148544,37.94781506554274],[-2.781475737420809,37.94731115757691],[-2.780976342312907,37.94690984685505],[-2.7803386772281407,37.946655674502395],[-2.779638645923119,37.94656648491623],[-2.778934066629071,37.94665117721525],[-2.7783009115150996,37.94690537781086],[-2.7777925094606677,37.947302221235276],[-2.7774670499361718,37.94780608339079],[-2.777355525107172,37.94836347977718],[-2.777467049936172,37.94892087551593],[-2.777788103130902,37.94942478403661],[-2.7782919468169203,37.949821626414135],[-2.778925177783523,37.95008026408053],[-2.779625198494916,37.95016945226213],[-2.780329788117765,37.950084677817735],[-2.7809674530823116,37.94982608939928],[-2.7814713307467973,37.94942919190239],[-2.7817968179148544,37.94892977407763],[-2.7819082772724286,37.948372380965104]]]}"
6,1,2022,S3-LDT,Santiago,intermediate,LDT,1606.254035,220.7794155,7.970891536,0.2505163603,0.1774722083,0.160464722,0.1519659859,-0.5075766913,0.03624109599,0.0213527551,0.01948552582,0.05063375196,0.02251699328,0.3985655606,0.163041994,0.2596089009,0.1174564399,0.2397681222,0.1045101087,0.2407302856,0.07555532455,-0.3422562182,-0.6057921052,"{""type"":""Polygon"",""coordinates"":[[[-2.7819082772724286,37.948372380965104],[-2.7817968179148544,37.94781506554274],[-2.781475737420809,37.94731115757691],[-2.780976342312907,37.94690984685505],[-2.7803386772281407,37.946655674502395],[-2.779638645923119,37.94656648491623],[-2.778934066629071,37.94665117721525],[-2.7783009115150996,37.94690537781086],[-2.7777925094606677,37.947302221235276],[-2.7774670499361718,37.94780608339079],[-2.777355525107172,37.94836347977718],[-2.777467049936172,37.94892087551593],[-2.777788103130902,37.94942478403661],[-2.7782919468169203,37.949821626414135],[-2.778925177783523,37.95008026408053],[-2.779625198494916,37.95016945226213],[-2.780329788117765,37.950084677817735],[-2.7809674530823116,37.94982608939928],[-2.7814713307467973,37.94942919190239],[-2.7817968179148544,37.94892977407763],[-2.7819082772724286,37.948372380965104]]]}"
7,2,2017,S2-LDT,Santiago,intermediate,LDT,1730.657793,177.4517152,8.984090714,0.2794813051,0.1909819324,0.1745670892,0.1723341351,-0.4611684395,0.1032995038,0.05976969441,0.05703757072,0.0778510611,0.06613607362,0.7917675376,0.07365839928,0.5245102963,0.07162142959,0.5299897908,0.07068621162,0.4624632597,-0.01358112972,-0.1492155343,-0.6530561447,"{""type"":""Polygon"",""coordinates"":[[[-2.7426726465354387,38.00785234442491],[-2.742565607139546,38.00729496223526],[-2.7422401633242917,38.00679108323801],[-2.7417407287368176,38.006394242067074],[-2.7411075422782822,38.006135630691944],[-2.7404030080611164,38.00604641084276],[-2.739698408493911,38.00613114267343],[-2.7390607709311983,38.00638528325211],[-2.73855689155717,38.00678661730537],[-2.738231399587912,38.00728608001123],[-2.7381154891627664,38.007843475040396],[-2.738226921052749,38.00840083689903],[-2.7385480103331283,38.008904736255964],[-2.7390518896119462,38.00930155392184],[-2.7396850483800645,38.00956016419609],[-2.7403895718361313,38.009649382688515],[-2.741094105851916,38.009564651300416],[-2.7417273680424867,38.00931053167711],[-2.7422356844071647,38.00891361599031],[-2.742561204105786,38.00840971476696],[-2.7426726465354387,38.00785234442491]]]}"
8,2,2018,S2-LDT,Santiago,intermediate,LDT,1730.657793,177.4517152,8.984090714,0.27320248,0.1924879734,0.1755673292,0.1679761073,-0.4487405565,0.08806502533,0.05442270957,0.0507109869,0.06465630027,0.05287635286,0.6143026948,0.08228562027,0.4423027499,0.08052577491,0.4309180104,0.08009032877,0.3348476291,0.009351865388,-0.1985795498,-0.5820217729,"{""type"":""Polygon"",""coordinates"":[[[-2.7426726465354387,38.00785234442491],[-2.742565607139546,38.00729496223526],[-2.7422401633242917,38.00679108323801],[-2.7417407287368176,38.006394242067074],[-2.7411075422782822,38.006135630691944],[-2.7404030080611164,38.00604641084276],[-2.739698408493911,38.00613114267343],[-2.7390607709311983,38.00638528325211],[-2.73855689155717,38.00678661730537],[-2.738231399587912,38.00728608001123],[-2.7381154891627664,38.007843475040396],[-2.738226921052749,38.00840083689903],[-2.7385480103331283,38.008904736255964],[-2.7390518896119462,38.00930155392184],[-2.7396850483800645,38.00956016419609],[-2.7403895718361313,38.009649382688515],[-2.741094105851916,38.009564651300416],[-2.7417273680424867,38.00931053167711],[-2.7422356844071647,38.00891361599031],[-2.742561204105786,38.00840971476696],[-2.7426726465354387,38.00785234442491]]]}"
9,2,2019,S2-LDT,Santiago,intermediate,LDT,1730.657793,177.4517152,8.984090714,0.2656800544,0.1893948121,0.1738563511,0.1618631372,-0.4411224736,0.09054736938,0.05771426598,0.05531149151,0.06043340996,0.05427052836,0.6670876741,0.08615213633,0.4869702568,0.08272628407,0.485853293,0.07865753133,0.3754920661,0.009930614382,-0.1875918061,-0.6100475788,"{""type"":""Polygon"",""coordinates"":[[[-2.7426726465354387,38.00785234442491],[-2.742565607139546,38.00729496223526],[-2.7422401633242917,38.00679108323801],[-2.7417407287368176,38.006394242067074],[-2.7411075422782822,38.006135630691944],[-2.7404030080611164,38.00604641084276],[-2.739698408493911,38.00613114267343],[-2.7390607709311983,38.00638528325211],[-2.73855689155717,38.00678661730537],[-2.738231399587912,38.00728608001123],[-2.7381154891627664,38.007843475040396],[-2.738226921052749,38.00840083689903],[-2.7385480103331283,38.008904736255964],[-2.7390518896119462,38.00930155392184],[-2.7396850483800645,38.00956016419609],[-2.7403895718361313,38.009649382688515],[-2.741094105851916,38.009564651300416],[-2.7417273680424867,38.00931053167711],[-2.7422356844071647,38.00891361599031],[-2.742561204105786,38.00840971476696],[-2.7426726465354387,38.00785234442491]]]}"
10,2,2020,S2-LDT,Santiago,intermediate,LDT,1730.657793,177.4517152,8.984090714,0.3352641668,0.2401596618,0.2228189213,0.2041589999,-0.4295405144,0.1118481963,0.07460461785,0.0739511997,0.06026169772,0.06640202958,0.7462012768,0.09467598051,0.5672190374,0.08863328823,0.5841348705,0.08625291569,0.4283418357,0.01514203474,-0.1810887009,-0.6100353003,"{""type"":""Polygon"",""coordinates"":[[[-2.7426726465354387,38.00785234442491],[-2.742565607139546,38.00729496223526],[-2.7422401633242917,38.00679108323801],[-2.7417407287368176,38.006394242067074],[-2.7411075422782822,38.006135630691944],[-2.7404030080611164,38.00604641084276],[-2.739698408493911,38.00613114267343],[-2.7390607709311983,38.00638528325211],[-2.73855689155717,38.00678661730537],[-2.738231399587912,38.00728608001123],[-2.7381154891627664,38.007843475040396],[-2.738226921052749,38.00840083689903],[-2.7385480103331283,38.008904736255964],[-2.7390518896119462,38.00930155392184],[-2.7396850483800645,38.00956016419609],[-2.7403895718361313,38.009649382688515],[-2.741094105851916,38.009564651300416],[-2.7417273680424867,38.00931053167711],[-2.7422356844071647,38.00891361599031],[-2.742561204105786,38.00840971476696],[-2.7426726465354387,38.00785234442491]]]}"
